Periodo,10702,10927,10960,10964,11395,11397,11509,11523,11807,1208,1224,14606,14708,14709,1627,16404,17413,17414,17750,17779,17804,19571,19574,20301,20305,20309,20310,20697,20769,21577,23900,26158,26170,3745,3882,3883,4070,4827,5389,551,5579,594,6833,7798,7799,7801,9776,9950
2018-12-01,79.275,31.0,1543.78,500.0,1266.48,148.2,35.0,5.0,78.0,360.0,942.06,290.39,93.4,60.0,139.14,50.0,329.0,197.0,170.0,337.0,965.8,69.5,94.0,275.7,53.0,38.0,277.7,50.0,200.0,30.0,920.0,42.5,29.0,49.0,170.0,935.0,72.0,675.0,298.42,58.0,58.0,393.8,15.0,35.0,41.5,82.0,98.80236842105263,515.66
2019-01-01,10.0,89.2,1090.6399999999999,645.03,704.0,56.0,55.0,5.5,334.2,9.0,130.0,235.0,112.1,20.0,78.0,40.0,157.0,176.8,253.0,316.0,225.0,12.0,106.9,112.0,105.0,36.0,20.0,74.0,250.0,8.0,529.0,37.5,37.0,38.5,405.0,844.13,70.0,390.0,455.02,39.5,180.4,315.0,24.0,31.04054054054054,46.83,20.0,87.0,520.86
2019-02-01,124.0,24.439999999999998,649.6800000000001,335.65999999999997,715.3,275.0,50.0,9.0,60.0,22.0,1119.7,377.4,145.2,80.0,71.35,50.0,278.0,466.4,834.7,1354.04,811.08,48.0,127.5,203.25,72.0,259.5,38.0,75.0,90.0,11.0,241.0,23.0,20.5,21.0,533.78,100.0,25.0,1270.0,295.0,100.0,75.0,376.56,60.14,25.0,12.0,41.5,85.0,897.0
2019-03-01,70.0,21.0,890.24,710.14,1352.0,1018.9999999999999,254.74,6.0,50.0,31.0,395.0,700.6,119.08,10.0,119.75999999999999,69.0,568.92,206.0,200.0,631.9200000000001,1069.6,257.6,210.2,256.95,74.0,15.0,108.22,52.0,661.45,60.0,509.0,33.0,81.0,28.0,355.18,712.13,165.2,650.0,460.0,196.5,87.5,349.75,25.0,68.0,88.5,142.1,166.0,170.0
2019-04-01,40.0,146.5,862.6999999999999,860.54,613.9,50.0,159.38,15.0,28.0,51.0,130.0,55.0,87.92,30.0,134.76,88.4,234.0,350.0,275.0,219.0,540.24,35.0,85.5,239.7,161.75,200.35,145.0,50.0,155.0,108.25,366.0,38.0,56.0,63.5,400.6,716.4,148.32,2143.0,295.0,174.0,87.0,557.36,82.03999999999999,39.0,53.0,11.0,83.5,595.6
2019-05-01,32.0,36.0,425.0,50.0,511.0,402.5,339.05,49.4,30.0,8.0,130.0,110.0,169.88,56.620000000000005,100.0,30.0,49.0,410.8,773.0,224.0,360.0,12.0,124.0,58.0,243.8,187.1,201.5,25.0,150.0,50.0,228.0,45.0,72.0,35.0,325.0,787.9,65.0,2030.0,886.8,515.75,488.75,100.0,75.0,12.0,12.0,84.0,109.0,615.24
2019-06-01,30.0,11.0,1018.82,295.0,645.5,240.0,75.0,3.0,48.0,58.0,660.0,367.0,70.0,117.84,133.04,20.0,280.4,227.4,115.0,637.4,451.64,35.0,79.0,114.0,90.18297297297298,36.0,56.0,65.0,165.0,23.0,256.0,15.5,22.0,10.0,240.0,290.0,25.0,1180.0,180.0,91.0,68.0,386.0,151.8,27.0,59.5,35.0,112.0,170.0
2019-07-01,75.0,26.0,913.8,450.0,636.5,128.0,458.2,8.5,30.0,85.0,726.2,175.0,245.64999999999998,50.0,78.0,93.09,150.0,507.79999999999995,780.2,2011.9999999999998,620.0,48.0,60.0,74.0,40.0,35.0,87.0,25.0,110.0,30.0,353.0,13.0,72.0,28.0,404.73,827.8199999999999,61.08,3437.6,420.0,45.0,45.0,210.0,39.0,12.0,73.0,35.0,107.0,324.22
2019-08-01,182.0,25.0,1580.3,358.0,75.0,364.0,250.0,7.0,15.0,79.5,140.0,400.0,100.0,30.0,40.0,10.0,130.0,279.0,165.0,150.0,599.4,40.0,44.0,92.0,33.0,45.0,240.8,258.08000000000004,100.0,16.0,245.0,15.0,29.0,5.0,120.0,460.0,45.0,1080.0,245.0,30.0,30.0,266.26,54.0,24.0,27.0,43.0,53.0,183.54
2019-09-01,89.0,7.5,651.0,525.0,376.0,72.0,120.0,4.0,30.0,36.0,560.0,210.0,40.0,110.0,60.0,40.0,25.0,330.0,175.0,238.0,395.0,13.0,72.0,89.0,94.0,76.0,92.69027027027028,91.0,203.0,48.0,337.0,65.0,44.0,2.0,110.0,505.0,25.0,1435.0,250.0,132.5,102.5,200.0,15.0,12.0,14.0,48.0,4.0,50.0
2019-10-01,280.0,18.0,1054.0,384.0,538.0,82.0,110.0,3.0,108.0,55.5,830.0,50.0,30.0,50.0,40.0,40.0,84.0,294.0,375.0,403.8,320.0,25.0,48.0,146.0,94.0,20.0,129.0,25.0,160.0,8.0,414.0,54.0,113.0,77.0,300.0,395.0,67.0,1180.0,170.0,59.0,45.0,200.0,27.0,12.0,25.0,23.0,107.9,358.91999999999996
2019-11-01,140.0,14.5,604.0,610.0,461.0,75.0,256.0,18.5,57.0,54.0,546.0,110.0,39.0,50.0,32.0,30.0,280.0,378.0,245.0,261.0,230.0,24.0,49.0,76.0,81.0,89.0,94.0,25.0,110.0,54.0,561.0,9.5,21.0,27.0,590.0,380.0,50.0,1240.0,360.0,90.0,90.0,195.0,72.0,24.0,24.0,10.0,103.0,160.0
2019-12-01,138.0,18.0,1296.0,640.0,50.0,217.89999999999998,70.0,6.0,60.0,24.0,135.0,265.0,30.0,108.0,40.0,40.0,50.0,268.0,445.0,2163.6,660.0,55.44864864864866,104.0,104.0,54.0,265.0,147.0,75.0,195.0,20.0,868.0,29.0,40.0,16.0,240.0,200.0,50.0,1320.0,230.0,59.0,59.0,100.0,34.0,12.0,34.0,66.0,73.0,210.0
2020-01-01,90.0,8.5,1124.0,550.0,175.0,228.0,70.0,13.07891891891892,30.0,28.0,540.0,147.0,10.0,78.0,148.0,108.0,50.0,35.0,288.0,340.0,220.0,96.0,164.6,190.0,74.0,18.0,38.0,150.0,245.0,30.0,520.0,38.0,44.0,21.0,180.0,595.0,25.0,775.0,380.0,86.0,72.0,380.0,20.0,64.0,37.0,36.0,178.0,158.0
2020-02-01,60.0,15.0,724.0,685.0,270.0,283.0,120.0,7.0,65.0,60.0,400.0,100.0,40.0,10.0,58.0,60.0,68.0,175.0,505.0,303.0,80.0,46.5,58.5,257.0,92.0,58.0,56.0,50.0,184.0,57.0,50.0,11.0,57.0,5.0,233.0,555.0,97.0,1760.0,155.0,29.0,14.0,100.0,37.0,25.5,73.5,36.5,170.0,170.0
2020-03-01,10.0,5.0,385.0,275.0,75.0,150.0,55.0,13.07891891891892,15.0,12.0,405.0,175.0,40.0,38.0,55.0,45.69736842105263,25.0,175.0,50.0,70.0,420.0,37.0,10.0,73.0,18.0,77.65297297297298,69.62,80.0,95.0,10.0,205.0,20.0,10.0,23.43216216216216,65.0,90.0,50.0,500.0,55.0,15.0,15.0,205.0,30.0,12.0,36.0,45.927297297297294,94.0,60.0
2020-04-01,10.0,6.0,80.0,60.0,25.0,217.89999999999998,40.0,13.07891891891892,75.27236842105265,47.97974358974359,280.0,150.0,89.20081081081082,20.0,86.94999999999999,45.69736842105263,181.9394736842105,240.31405405405408,329.65000000000003,22.0,447.36605263157884,55.44864864864866,87.69282051282052,149.05564102564102,90.18297297297298,77.65297297297298,92.69027027027028,67.90297297297298,184.70769230769233,41.13394736842105,367.65564102564105,28.35578947368421,42.486756756756755,23.43216216216216,264.63945945945943,200.0,68.8591891891892,130.0,322.05378378378384,15.0,92.80973684210527,286.5435135135135,43.05947368421052,31.04054054054054,44.67526315789473,45.927297297297294,98.80236842105263,10.0
2020-05-01,55.0,5.0,155.0,50.0,46.0,210.0,110.0,8.5,75.27236842105265,25.0,140.0,40.0,20.0,20.0,25.0,30.0,181.9394736842105,35.0,240.0,110.0,80.0,55.44864864864866,41.0,60.0,38.0,20.0,92.69027027027028,30.0,45.0,24.0,78.0,20.0,5.0,11.0,210.0,100.0,25.0,560.0,322.05378378378384,108.4725641025641,92.80973684210527,115.0,15.0,14.0,44.67526315789473,35.0,25.0,55.0
2020-06-01,132.0,27.5,555.0,550.0,106.0,244.0,180.0,11.0,108.0,19.9,410.0,165.0,32.0,20.0,62.0,30.0,106.0,205.0,265.0,455.0,310.0,34.5,51.0,152.0,53.0,20.0,58.0,85.0,150.0,32.0,286.0,11.0,46.0,18.0,195.0,300.0,40.0,390.0,55.0,140.0,110.0,220.0,42.0,12.0,34.5,12.0,140.9,164.0
2020-07-01,245.0,29.0,905.0,341.6,559.0,161.0,430.0,53.8,80.0,23.0,310.0,381.8,15.0,102.0,119.66,42.0,286.4,218.01,625.02,1106.4,400.0,119.4,115.5,170.0,112.0,56.0,80.0,80.0,205.0,122.6,362.0,34.019999999999996,28.0,13.0,300.0,1990.88,125.0,1304.88,175.0,189.8,72.5,286.5435135135135,41.0,22.0,48.0,64.5,117.75,270.0
2020-08-01,183.0,18.009999999999998,730.0,825.3,371.0,74.0,180.0,16.0,369.0,94.0,300.0,175.0,197.58,225.12,139.0,38.0,75.0,35.0,300.0,262.0,220.0,36.0,32.5,136.0,78.0,77.65297297297298,79.02000000000001,163.25,307.0,37.99,407.0,43.0,27.0,4.0,264.63945945945943,505.0,45.0,1270.01,364.77,97.0,87.5,404.2,42.0,22.0,22.0,44.5,90.0,348.32
2020-09-01,72.0,36.97,745.0,300.0,176.0,25.0,210.0,3.0,75.0,75.3,590.0,175.0,140.0,80.0,100.0,20.0,50.0,70.0,300.0,325.0,320.0,59.0,49.0,117.0,101.0,136.0,56.0,80.0,50.0,31.990000000000002,269.0,52.0,65.0,2.0,100.0,25.0,55.0,1540.0,405.0,75.0,75.0,220.0,27.0,34.0,22.0,24.5,181.0,60.0
2020-10-01,34.0,44.0,415.0,450.0,668.01,53.0,125.0,14.5,60.0,68.0,450.0,270.0,40.0,106.0,50.0,28.0,164.0,105.0,140.0,410.0,70.0,70.0,51.0,154.0,94.0,78.0,20.0,30.0,215.0,39.0,413.0,17.0,42.0,13.0,60.0,185.0,70.0,900.0,245.0,74.0,59.0,100.0,30.0,62.0,27.0,35.0,33.0,232.0
2020-11-01,32.0,10.0,808.0,535.0,574.0,28.0,20.0,2.5,60.0,46.0,450.0,300.0,50.0,10.0,110.0,20.0,105.0,80.0,148.0,314.0,160.0,37.0,92.5,131.0,100.0,100.0,102.0,25.0,70.0,148.0,344.0,35.0,40.0,15.0,110.0,610.0,164.0,250.0,235.0,104.0,104.0,420.0,43.05947368421052,65.5,15.0,30.0,192.0,130.0
2020-12-01,60.0,44.0,740.0,230.0,391.0,244.0,85.0,15.5,15.0,18.7,305.0,160.0,45.0,20.0,128.0,50.0,125.0,284.0,300.0,264.0,350.0,145.0,90.5,190.0,40.0,20.0,173.0,45.0,255.0,3.0,213.0,48.0,22.0,12.0,70.0,410.0,25.0,880.0,295.0,90.0,90.0,522.0,15.0,24.0,38.0,24.0,84.0,80.0
2021-01-01,72.0,61.0,700.0,510.0,446.0,270.0,75.0,9.0,63.0,23.0,280.0,110.0,80.0,76.0,100.0,50.0,295.0,145.0,120.0,409.0,305.0,12.0,134.0,154.0,76.0,20.0,38.0,67.90297297297298,260.0,22.0,442.0,37.0,9.0,16.0,120.0,405.0,173.0,2315.0,290.0,15.0,15.0,100.0,15.0,71.0,39.5,58.0,214.1,150.0
2021-02-01,40.0,15.0,460.0,330.0,260.0,217.89999999999998,70.0,13.0,50.0,35.0,459.1605405405405,325.0,20.0,145.0,74.0,20.0,85.0,105.0,125.0,176.0,230.0,41.0,70.5,80.0,20.0,20.0,18.0,50.0,50.0,33.0,113.0,11.0,68.0,36.0,145.0,200.0,20.0,745.0,322.05378378378384,49.0,45.0,210.0,15.0,24.0,15.0,54.5,89.0,81.0
2021-03-01,20.0,30.0,465.0,905.0,594.0,25.0,90.0,15.0,125.0,22.0,459.1605405405405,50.0,110.0,70.0,80.0,73.0,116.0,240.31405405405408,300.0,364.0,350.0,42.5,61.0,112.0,80.0,20.0,20.0,55.0,95.0,42.0,514.0,16.0,48.0,27.0,150.0,519.5051282051282,50.0,260.0,120.0,60.0,60.0,430.0,45.0,27.5,72.0,34.0,58.0,90.0
2021-04-01,85.0,32.0,440.0,660.0,339.0,56.0,35.0,7.0,63.0,21.0,450.0,100.0,89.20081081081082,100.0,55.0,30.0,114.0,240.31405405405408,580.0,328.0,230.0,56.0,124.0,201.0,78.0,20.0,60.0,25.0,160.0,41.13394736842105,507.0,29.0,24.0,11.0,225.0,320.0,68.8591891891892,115.0,60.0,118.0,74.0,555.0,15.0,70.0,54.0,54.0,50.0,195.0
2021-05-01,50.0,4.0,575.0,590.0,454.0,90.0,65.0,10.0,15.0,9.0,160.0,210.0,89.20081081081082,120.0,47.0,30.0,85.0,40.0,200.0,162.0,447.36605263157884,15.0,64.0,98.0,20.0,20.0,80.0,30.0,35.0,62.0,292.0,8.0,42.486756756756755,14.0,264.63945945945943,400.0,68.8591891891892,130.0,60.0,44.0,15.0,225.0,15.0,58.0,42.0,45.927297297297294,31.0,70.0
